"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1_S1_R1_001.sorted.bam","Control_2_S2_R1_001.sorted.bam","Control_3_S3_R1_001.sorted.bam","Taf_1_S4_R1_001.sorted.bam","Taf_2_S5_R1_001.sorted.bam","Taf_3_S6_R1_001.sorted.bam"
"33","NM_164902.2",897.377129083993,0.156684261118716,0.271133632203646,0.577885745288257,0.563341259848235,0.99941554011446,1182.47391525509,678.194729052799,976.676994612007,911.109591136011,693.291825432312,942.515719015737
"34","NM_057614.3",111.417111479567,0.0654530633817659,0.292251034136362,0.223961785371223,0.822787038784582,0.99941554011446,125.975287301125,104.975151543814,111.078382188883,136.271448963262,96.6125732207792,93.5898256595365
"35","NM_135518.3",348.434910156558,0.175624256687273,0.209504913764585,0.838282279548906,0.401872185800181,0.99941554011446,338.757075095461,407.469338229279,363.036663739276,306.117023033414,363.26327531013,311.966085531788
"36","NM_001169462.2",376.575259440726,0.102409802521486,0.227031595515927,0.451081719655632,0.651930652330231,0.99941554011446,324.995068919708,407.469338229279,437.540456670844,323.891559854709,360.944573552831,404.610559416986
"37","NM_057653.3",396.072462813341,-0.182324379006181,0.197914449747342,-0.921228233910846,0.356931280494591,0.99941554011446,404.391258395207,335.644234541406,372.518964657839,422.638986639681,398.816702255377,442.424630390536
"38","NM_164904.2",190.790441812697,0.416066931025643,0.369725447749179,1.12534025872058,0.260444876116562,0.99941554011446,282.650434532775,167.131491273704,204.546776957577,237.6521404625,104.341579078442,148.420228571184
"39","NM_135520.4",398.747321316701,0.253924949624472,0.240786879878335,1.05456306320666,0.291625204339578,0.99941554011446,500.725301625478,401.944330253288,398.256638579653,424.613935175381,294.475123176935,372.468599089469
"40","NM_135521.6",363.762873505967,-0.032804855405116,0.360271309866122,-0.0910559750575377,0.927448114075836,0.99941554011446,446.735892782139,251.387862907555,380.646651159465,527.311259031752,229.551473972571,346.944101182322
"41","NM_135522.4",138.895509793984,-0.139904820616696,0.270147271594011,-0.517883522536368,0.604539539141936,0.99941554011446,134.444214178511,120.168923477787,142.234513778448,157.337566677389,163.854924182442,115.332916469328
"42","NM_164906.3",189.29352852776,-0.0752820097772183,0.280428597777806,-0.268453397313162,0.788350342203435,0.99941554011446,244.540263584536,154.700223327726,153.071429113948,206.052963891309,193.998047027325,183.398244221718
"43","NM_057419.3",160.142209191536,-0.10792915575152,0.23244785807482,-0.464315552939104,0.642421682594289,0.99941554011446,159.850994810671,145.031459369743,157.135272364761,157.337566677389,159.99042125361,181.507540673041
"44","NM_135524.4",417.001712345074,0.172025232134968,0.220921526786574,0.778671207994847,0.436173420750222,0.99941554011446,393.805099798473,454.431906025195,478.178889178972,458.846376460838,350.89686593787,365.851136669097
"45","NM_001038804.3",9.59142372597806,-0.752658748156456,0.910566811170504,-0.826582672378469,0.408473641918177,0.99941554011446,1.05861585967332,15.1937719339731,5.41845766775039,8.55811032136426,13.139309958026,14.1802766150813
"46","NM_135525.2",1647.59441840569,0.0978795901130922,0.232152039596248,0.421618480213749,0.673303515159458,0.99941554011446,1505.35175245545,1622.97109294713,1981.8008919797,1436.44590163206,1381.17334676426,1957.82352465556
"47","NM_135526.3",10.9235761648146,-0.21359705086686,0.665780928047093,-0.320821822717865,0.748345420740189,0.99941554011446,8.46892687738653,13.8125199399755,8.12768650162558,11.8496912141967,10.047707614961,13.2349248407425
"48","NM_135527.3",321.844739253686,0.16837942694067,0.220117262372667,0.764953303187995,0.444299351683541,0.99941554011446,317.584757901995,345.312998499389,358.972820488463,316.650081890478,255.057193302857,337.490583438935
"49","NM_135528.2",21.1503294215901,1.0821899581319,0.484421684601735,2.23398330944168,0.025484171282934,0.99941554011446,27.5240123515062,29.0062918739486,29.8015171726271,15.1412721070291,13.139309958026,12.2895730664038
"50","NM_135529.3",745.750291274145,-0.0599929633121349,0.253842491573402,-0.236339325777486,0.813169373554513,0.99941554011446,923.113029635131,658.857201136833,608.221873204981,905.184745528912,661.602901415896,717.521996723113
"51","NM_001298873.1",356.216606905703,0.308492736466918,0.243333038517377,1.2677799050493,0.204876560274213,0.99941554011446,435.091118325733,316.30670662544,430.767384586156,354.174104068767,268.196503260883,332.763824567241
"52","NM_135531.3",345.042489229317,-0.0348054692815831,0.217865362955185,-0.159756781938498,0.873072669741956,0.99941554011446,396.980947377493,292.825422727482,331.880532149711,337.057883426039,344.71366125174,366.796488443436
