"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NM_057449.4"	101.036388906599	0.350761982693659	0.314318091241702	1.11594589197201	0.264445296152304	0.999972712909591
"NM_001273411.1"	305.960356684734	0.155666606827928	0.213003130792335	0.730818398062392	0.464890084299747	0.999972712909591
"NM_135550.2"	98.5097718116597	-0.385772029736824	0.281945582592263	-1.368249951604	0.171233850818094	0.999972712909591
"NM_001273414.1"	270.628710676287	-0.150864259189217	0.216597067793929	-0.696520321007989	0.486103035682831	0.999972712909591
"NM_001273416.1"	9.2038700133222	-0.602458201628177	0.717053011279153	-0.84018641878855	0.400803871997587	0.999972712909591
"NM_164926.2"	1.75295285565338	0.969575627681997	1.67843818402546	0.577665377795819	0.563490058330003	0.999972712909591
"NM_057430.4"	775.602763898953	0.16819679706841	0.332020421474777	0.506585698317318	0.61244554524305	0.999972712909591
"NM_135553.4"	172.38975272085	0.0143566857686032	0.223212582534587	0.0643184430088236	0.948716668462167	0.999972712909591
"NM_135554.3"	86.1648144728471	0.402484278694638	0.30151135166858	1.33488930505359	0.181912578650377	0.999972712909591
"NM_135555.3"	44.9156083223856	0.291392561803484	0.423744759819914	0.687660567005766	0.491666557628688	0.999972712909591
"NM_080001.4"	110.350190746777	-0.207601207700809	0.386827247357769	-0.536676795956939	0.591490886944193	0.999972712909591
"NM_135556.4"	349.12313063166	-0.103941656855263	0.298167917618572	-0.3486010758147	0.72738881996078	0.999972712909591
"NM_001201851.2"	59.6922168084472	0.19633102265167	0.307898334091771	0.637648862994993	0.523702280401044	0.999972712909591
"NM_164927.2"	258.245399967491	-0.068116668814395	0.351185026393933	-0.193962338069582	0.846205371692562	0.999972712909591
"NM_135557.4"	19.3498313333961	0.124337039320219	0.487526719333076	0.255036358807797	0.798695017253992	0.999972712909591
"NM_057540.4"	161.146194706245	0.156813029563046	0.24511522266498	0.639752308559701	0.52233364242897	0.999972712909591
"NM_135559.3"	37.0899316425893	0.223759759360483	0.753005822604992	0.297155417187074	0.766347857224465	0.999972712909591
"NM_135560.3"	35.8777539997127	-0.0975442189635724	0.456824610157558	-0.213526628808219	0.830916221221728	0.999972712909591
"NM_058093.4"	73.2056065188894	0.345006898830198	0.377221724274816	0.914599760905738	0.360401784283419	0.999972712909591
"NM_001169467.1"	20.1614885747508	0.36720650947351	0.653516658246197	0.561893112960516	0.574188846290738	0.999972712909591
"NM_001169468.3"	35.5093629758252	0.391772544566961	0.421535382942109	0.929394210831325	0.352684826904128	0.999972712909591
"NM_134647.4"	195.591324805382	-0.0714333973964392	0.26017356311276	-0.274560553123838	0.78365387599002	0.999972712909591
